     Running `target\debug\test.exe 3 ugly`
k,t
0,385.987909
100,399.82794
200,375.802954
300,365.471052
400,356.854924
500,346.333644
600,336.292878
700,324.574627
800,330.349413
900,313.643548
1000,306.583484
1100,311.031252
1200,310.793582
1300,306.061576
1400,305.015347
1500,296.997015
1600,295.602733
1700,291.99112
1800,288.452636
1900,277.497756
2000,270.443901
2100,273.331811
2200,267.643262
2300,262.026118
2400,256.750473
2500,259.360355
2600,259.359664
2700,256.360336
2800,256.585587
2900,256.672515
3000,255.564885
3100,254.229243
3200,255.339633
3300,263.780872
3400,261.549399
3500,255.221316
3600,255.220626
3700,260.561466
3800,259.423135
3900,254.709067
4000,242.596884
4100,218.121396
4200,196.710432
4300,172.430874
4400,147.711507
4500,148.685298
4600,149.553533
4700,148.265839
4800,147.896745
4900,151.274482
5000,151.224119
5100,149.318623
5200,150.698417
5300,159.372152
5400,149.499031
5500,151.548371
5600,149.70669
5700,148.400024
5800,147.803609
5900,150.676686
6000,149.126487
6100,171.711656
6200,150.484204
6300,159.963739
6400,146.809812
6500,148.79706
6600,149.77637
6700,115.22631
6800,78.259196
6900,41.384872
7000,1.337366
