     Running `target\debug\test.exe 2 ugly`
k,t
0,352.088422
100,300.434428
200,92.81465
300,33.153017
400,36.351037
500,51.691249
600,52.609502
700,74.692771
800,74.308844
900,88.401377
1000,89.78807
1100,94.09165
1200,111.585723
1300,112.043124
1400,125.757249
1500,125.626513
1600,144.991587
1700,144.579373
1800,162.131051
1900,161.341809
2000,162.218323
2100,184.774172
2200,183.333667
2300,218.838199
2400,220.565012
2500,241.285045
2600,232.696857
2700,258.018849
2800,252.231991
2900,285.762726
3000,287.623724
3100,284.074548
3200,300.414421
3300,303.925654
3400,309.679053
3500,306.63902
3600,319.600122
3700,316.626664
3800,336.538481
3900,339.050742
4000,338.429146
4100,358.698675
4200,359.552077
4300,382.689164
4400,389.918944
4500,432.08961
4600,429.93299
4700,438.054462
4800,437.954082
4900,437.907859
5000,436.105157
