     Running `target\debug\test.exe random ugly`
k,t
0,104.439765
5,108.582254
10,101.758824
15,101.827814
20,97.772598
25,98.548387
30,97.624269
35,95.677724
40,96.919194
45,95.443849
50,95.089932
55,96.629783
60,97.167902
65,98.415582
70,97.804332
75,98.648422
80,96.54182
85,98.696025
90,96.668072
95,96.955414
100,99.474574
105,99.933356
110,102.002358
115,100.051328
120,102.908193
125,101.098592
130,104.409065
135,104.00996
140,102.098598
145,106.036533
150,103.162076
155,104.962017
160,105.103447
165,106.371478
170,109.663323
175,106.783001
180,111.421526
185,110.297683
190,111.289411
195,111.293896
200,111.823392
205,115.536419
210,112.669896
215,114.070733
220,115.081087
225,114.478117
230,117.002106
235,117.315665
240,117.851715
245,117.303591
250,119.815507
255,120.783089
260,121.252909
265,120.030756
270,127.000099
275,122.846227
280,128.047708
285,125.524753
290,126.508891
295,125.497157
300,129.945615
