     Running `target\debug\test.exe 3 ugly`
k,t
0,262.21722
100,257.903981
200,264.281738
300,241.997363
400,235.446098
500,227.222866
600,221.69058
700,214.484602
800,207.809845
900,204.829144
1000,208.842966
1100,200.167507
1200,198.265805
1300,205.609073
1400,200.941917
1500,191.669006
1600,184.145676
1700,177.333975
1800,178.251193
1900,174.676145
2000,175.056624
2100,175.368802
2200,171.721314
2300,174.166656
2400,172.199414
2500,166.37599
2600,152.281387
2700,141.805986
2800,142.511751
2900,142.509336
3000,148.071288
3100,143.63111
3200,146.269966
3300,146.532128
3400,145.830501
3500,143.980887
3600,143.133004
3700,145.462786
3800,141.292012
3900,141.346169
4000,143.507962
4100,142.904648
4200,141.956383
4300,144.332045
4400,142.735622
4500,140.791147
4600,142.189224
4700,144.711144
4800,147.801193
4900,143.682162
5000,143.461395
5100,143.62559
5200,129.719674
5300,100.258987
5400,101.07893
5500,102.469764
5600,100.896107
5700,100.408006
5800,99.365571
5900,101.861274
6000,99.975095
6100,102.666384
6200,102.185871
6300,100.158263
6400,101.414221
6500,103.885778
6600,103.004089
6700,100.047189
6800,77.740393
6900,40.15582
7000,1.749579
