     Running `target\debug\test.exe 2 ugly`
k,t
0,347.929377
100,332.993789
200,90.810153
300,30.699742
400,31.383086
500,50.684689
600,50.634326
700,67.082859
800,70.009403
900,86.648348
1000,86.115402
1100,86.56142
1200,105.104136
1300,105.802312
1400,124.46645
1500,126.044246
1600,150.350364
1700,150.238256
1800,174.676145
1900,178.795867
2000,179.732403
2100,190.953583
2200,197.198534
2300,234.879692
2400,228.330842
2500,254.560739
2600,257.011945
2700,269.480114
2800,274.100012
2900,287.632349
3000,283.311866
3100,286.250829
3200,300.922186
3300,299.036696
3400,313.431404
3500,309.950873
3600,308.104362
3700,308.644206
3800,323.429052
3900,324.128608
4000,325.948212
4100,322.052707
4200,322.085477
4300,372.23998
4400,373.20894
4500,398.3181
4600,404.452667
4700,420.755976
4800,415.541041
4900,417.794936
5000,481.342416
