     Running `target\debug\test.exe random ugly`
k,t
0,102.764695
5,104.257633
10,99.917833
15,98.779157
20,101.606702
25,99.719488
30,98.436624
35,95.540779
40,94.007483
45,94.373818
50,96.509396
55,98.682572
60,95.297936
65,94.302414
70,95.764306
75,95.483518
80,95.025771
85,95.553888
90,95.94161
95,99.921282
100,97.390049
105,101.492524
110,99.422832
115,105.696068
120,102.581182
125,103.883708
130,100.957853
135,101.508737
140,101.325914
145,103.894747
150,105.490134
155,106.146571
160,105.826459
165,106.096899
170,106.170718
175,106.579482
180,106.387001
185,111.017592
190,109.973087
195,109.697474
200,112.686453
205,110.299063
210,111.2287
215,116.690618
220,112.60884
225,116.10731
230,115.890336
235,119.578528
240,116.687513
245,115.782023
250,117.217699
255,119.582323
260,121.627523
265,121.838976
270,123.771379
275,121.738941
280,124.178763
285,123.924191
290,123.484037
295,129.342645
300,128.965271
